module,note_index,name,decision,target_px,decided,reason
tat_m17af,3,Exit,override,"284,87","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 284,87"
tat_m18aa,64,To the Sand People Territory,override,"254,208","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 254,208"
tat_m18ab,49,To the Dune Sea,override,"163,46","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 163,46"
tat_m18ab,50,To the Eastern Dune Sea,reject,,"2026-08-29 user (atlas annotation, full pass)","blob drawn over the vanilla marker on the atlas: reviewer confirms the authored position, do not move this note"
tat_m18ab,51,Sand People Enclave,override,"190,217","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 190,217"
tat_m18ac,0,Star Map,reject,,2026-08-28 user,true position is outside the area's map image; user chose vanilla invisibility over an inaccurate edge marker
tat_m20aa,16,Chieftain's Room,override,"266,154","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 266,154"
unk_m41aa,22,To North Beach,override,"324,43","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 324,43"
unk_m41aa,23,To Temple,override,"336,164","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 336,164"
unk_m41ab,3,Red Settlement,override,"124,171","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 124,171"
unk_m41ac,19,To Rakatan Settlement,override,"230,77","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 230,77"
unk_m41ad,9,To South Beach,override,"181,181","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 181,181"
unk_m41ad,10,Temple Entrance,override,"247,97","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 247,97"
unk_m42aa,20,To South Beach,override,"223,22","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 223,22"
unk_m42aa,21,Data Archives,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
unk_m43aa,22,Arena of the One,override,"77,56","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 77,56"
unk_m43aa,23,To North Beach,override,"357,222","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 357,222"
unk_m44aa,47,Temple Exit,override,"157,130","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 157,130"
unk_m44aa,48,To Summit,override,"244,140","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 244,140"
unk_m44aa,49,To Catacombs,override,"220,119","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 220,119"
unk_m44aa,55,Prototype Droid Command Room,override,"267,176","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 267,176"
unk_m44aa,57,North Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
unk_m44aa,58,South Corridor,override,"227,223","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 227,223"
unk_m44aa,73,Massive Door,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"object proposal, reviewed on its crop and approved: lands in room M44aa_w02, vanilla was in m44aa_02a"
