module,note_index,tag,name,triage,rule,confidence,move_px,old_px,new_px,new_world_x,new_world_y,reason,decision,target_px,note
manm26ae,71,SW_MAPNOTE001,To East Courtyard,auto,transition,medium,5.0,"295,179","299,176",109.970001,27.701099,"names door man26ae_to26ab -> manm26ab (Manaan - Ahto East), name match 0.50",,,
tar_m02aa,20,SW_MAPNOTE001,To Upper City,auto,transition,high,5.0,"244,206","244,211",112.500000,81.750000,"names door ptar_stnddr -> tar_m02ac (Taris - Upper City South), name match 1.00",,,
tar_m02ab,36,SW_MAPNOTE001,To Apartments,auto,transition,high,5.0,"310,116","310,111",221.250000,142.875000,"names door tar02_door02ad -> tar_m02ad (Taris - North Apartments), name match 1.00",,,
tar_m03ab,21,SW_MAPNOTE001,To Lower City,auto,transition,high,5.0,"221,203","221,208",112.500000,81.750000,"names door ptar_stnddr -> tar_m03aa (Taris - Lower City), name match 1.00",,,
tar_m08aa,58,tar08_mnbarracks3,Barracks,auto,room_centre,medium,5.0,"198,45","203,45",70.111145,131.204071,"sole note in room M08aa_07a (31 px across), only note in it",,,
tat_m17aa,42,SW_MAPNOTE001,Hunting Lodge,auto,transition,high,5.0,"156,78","153,74",123.461998,131.362000,"names door TatooineTransition -> tat_m17ad (Tatooine - Hunting Lodge), name match 1.00",,,
manm26ac,25,SW_WAYPOINT001,To Ahto West,auto,transition,high,4.5,"148,193","146,189",-107.348000,27.701300,"names door man26ac_to26aa -> manm26aa (Ahto West), name match 1.00",,,
danm13,35,SW_WAYPOINT001,Jedi Council Chamber,auto,room_centre,medium,4.2,"161,93","164,90",98.660114,39.022811,"sole note in room M13aa_04a (57 px across), only note in it",,,
kas_m23aa,8,SW_MAPNOTE001,To the Great Walkway,auto,transition,high,4.2,"101,42","98,39",70.227997,132.496994,"names door KashyyykDoor3 -> kas_m22ab (Kashyyyk - The Great Walkway), name match 1.00",,,
end_m01aa,18,SW_WAYPOINT001,Quarters,auto,room_centre,medium,4.1,"48,82","52,83",15.539645,22.921238,"sole note in room M01aa_01a (48 px across), only note in it",,,
kas_m23aa,10,SW_MAPNOTE001,Holder of the Laws,auto,object,high,4.1,"317,120","318,116",180.899002,93.422501,"names the door 'Holder of the Laws' (Door List), 4 px away, name match 1.00",,,
korr_m37aa,9,k37_map_valley,To Valley,auto,transition,high,4.1,"79,136","75,135",6.750000,18.000000,"names door k37_door_valley -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00",,,
lev_m40aa,84,lev40_mnmedical,Medical,auto,room_centre,medium,4.1,"152,161","151,157",64.691808,63.853191,"sole note in room M40aa_00a (39 px across), only note in it",,,
lev_m40ad,9,SW_MAPNOTE001,To Command Deck,auto,transition,high,4.1,"117,141","113,140",151.649994,55.000000,"names door lev40_cmddoor -> lev_m40ab (Leviathan - Command Deck), name match 1.00",,,
tar_m02aa,21,SW_MAPNOTE001,Dia's Apartment,auto,room_centre,medium,4.1,"127,119","123,118",75.061276,112.179113,"sole note in room M02aa_04a (58 px across), only note in it",,,
tar_m02ab,37,SW_MAPNOTE001,To Upper City South,auto,transition,high,4.1,"311,208","310,212",221.250000,60.937500,"names door UpperSouth -> tar_m02ac (Taris - Upper City South), name match 1.00",,,
tat_m17aa,45,SW_MAPNOTE001,Cantina,auto,transition,high,4.1,"294,176","293,180",208.707993,63.811699,"names door TatooineTransition -> tat_m17af (Tatooine - Cantina), name match 1.00",,,
korr_m34aa,4,k34_map_valley,To Valley,auto,transition,high,4.0,"112,127","108,127",2.173056,150.966400,"names trigger k34_trg_k36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00",,,
lev_m40ad,6,SW_MAPNOTE001,To Command Deck,auto,transition,high,4.0,"53,98","53,102",123.000000,75.150002,"names door lev40_stddoor -> lev_m40ab (Leviathan - Command Deck), name match 1.00",,,
sta_m45ab,7,k45b_map_west,To West Exit,auto,transition,medium,4.0,"76,52","76,48",-15.965100,-107.297997,"names door sta45b_west_45a -> sta_m45aa (Star Forge - Deck 1), name match 0.50",,,
tar_m02ac,42,SW_MAPNOTE001,To Upper City Cantina,auto,transition,high,4.0,"126,190","126,194",90.000000,24.937500,"names door tar02_cantdoor -> tar_m02ae (Taris - Upper City Cantina), name match 1.00",,,
tar_m09aa,11,SW_MAPNOTE001,To Upper City,auto,transition,high,4.0,"248,229","248,233",0.667134,-22.265800,"names door ptar_secdoor -> tar_m02ab (Taris - Upper City South), name match 1.00",,,
tar_m10aa,30,SW_MAPNOTE001,To Sewers,auto,transition,high,4.0,"334,21","334,17",196.179993,144.339005,"names door tar10_elev03 -> tar_m05ab (Taris - Upper Sewers), name match 1.00",,,
tar_m11aa,23,SW_MAPNOTE001,To Lower City,auto,transition,high,4.0,"212,220","212,224",70.576698,27.935400,"names door ptar_secdoor -> tar_m03aa (Taris - Lower City), name match 1.00",,,
unk_m42aa,20,southbeach,To South Beach,auto,transition,high,4.0,"223,16","223,12",52.500702,24.752001,"names door RakataDoor2 -> unk_m41ab (Unknown World - South Beach), name match 1.00",,,
unk_m44aa,48,summit,To Summit,auto,transition,high,4.0,"245,143","249,143",101.172997,79.283997,"names door unk44_basedoor -> unk_m44ac (Unknown World - Temple Summit), name match 1.00",,,
ebo_m12aa,52,sw_exit,Exit Ramp,auto,transition,medium,3.6,"274,110","272,107",66.260692,51.420939,"names trigger AreaTransition -> ? (Exit Ebon Hawk), name match 0.50",,,
kas_m23aa,11,SW_MAPNOTE001,Home of Woorwill,auto,transition,high,3.6,"206,135","204,138",123.713997,82.396103,"names door KashyyykDoor1 -> kas_m23ab (Kashyyyk - Woorwill's Home), name match 1.00",,,
korr_m36aa,35,k36_map_firsttom,To Ajunta Pall's Tomb,auto,transition,high,3.6,"265,90","268,88",135.210007,178.608994,"names door kor36_kor37 -> korr_m37aa (Korriban - Tomb of Ajunta Pall), name match 1.00",,,
manm26ab,14,SW_WAYPOINT001,To Ahto City East Central,auto,transition,high,3.6,"150,179","148,182",-52.826199,79.167297,"names door man26ab_door06 -> manm26ae (Manaan - East Central), name match 1.00",,,
manm26ae,69,SW_MAPNOTE001,To West Central Courtyard,auto,transition,high,3.6,"137,220","134,222",8.438870,-2.063860,"names door man26ae_to26ac -> manm26ac (Manaan - West Central), name match 1.00",,,
sta_m45aa,24,k45_map_ebonhawk,To Ebon Hawk,auto,transition,high,3.6,"238,48","240,45",68.094606,180.966190,"names trigger k45_trg_ebonhawk -> ebo_m12aa (Star Forge - Ebon Hawk), name match 1.00",,,
danm13,32,SW_WAYPOINT001,To Outer Courtyard,auto,transition,high,3.2,"261,72","264,71",82.174500,127.640999,"names door dan13_door03 -> danm14aa (Dantooine - Courtyard), name match 1.00",,,
kas_m22aa,47,SW_MAPNOTE001,To the Great Walkway,auto,transition,high,3.2,"335,26","338,25",167.613007,141.561005,"names door KashyyykDoor3 -> kas_m22ab (Kashyyyk - The Great Walkway), name match 1.00",,,
korr_m35aa,51,k35_map_valley,To Valley,auto,transition,high,3.2,"251,30","250,27",121.500000,159.750000,"names door kor35_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00",,,
korr_m35aa,52,k35_map_duelling,Dueling Room,auto,room_centre,medium,3.2,"342,166","343,169",188.227363,49.913206,"sole note in room M35aa_22 (43 px across), only note in it",,,
korr_m36aa,32,k36_map_final,To Naga Sadow's Tomb,auto,transition,high,3.2,"178,25","175,26",28.347799,252.615005,"names door kor36_kor39 -> korr_m39aa (Korriban - Tomb of Naga Sadow), name match 1.00",,,
korr_m36aa,33,k36_map_second,To Marka Ragnos' Tomb,auto,transition,high,3.2,"174,87","171,86",24.226999,181.466003,"names door kor36_kor38a -> korr_m38aa (Korriban - Tomb of Marka Ragnos), name match 1.00",,,
korr_m36aa,34,k36_map_third,To Tulak Hord's Tomb,auto,transition,high,3.2,"252,30","255,29",120.318001,248.384995,"names door kor36_kor38b -> korr_m38ab (Korriban - Tomb of Tulak Hord), name match 1.00",,,
korr_m39aa,13,k39_map_valley,To Valley,auto,transition,high,3.2,"219,30","220,27",6.750000,108.000000,"names door kor39_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00",,,
manm26ab,11,SW_WAYPOINT001,Swoop Track Registration,auto,room_centre,medium,3.2,"225,231","228,232",-82.555939,33.280227,"sole note in room M26ab_17a (53 px across), only note in it",,,
tat_m18aa,65,SW_MAPNOTE001,To the Eastern Dune Sea,auto,transition,high,3.2,"301,162","304,163",345.155891,144.962128,"names trigger AreaTransition -> tat_m18ac (To the Eastern Dune Sea), name match 1.00",,,
unk_m44aa,73,MassiveDoor,Massive Door,auto,object,high,3.2,"178,133","175,132",95.390503,44.977001,"names the door 'Massive Door' (Door List), 3 px away, name match 1.00",,,
danm14aa,26,SW_WAYPOINT001,To Jedi Enclave,auto,transition,high,3.0,"127,158","127,155",108.525002,93.974998,"names door man14aa_door03 -> danm13 (Dantooine - Jedi Enclave), name match 1.00",,,
manm26ad,54,SW_MAPNOTE001,Manaan - West Central,auto,transition,high,3.0,"184,175","184,172",339.778015,206.388000,"names door man26ad_to26ac -> manm26ac (Manaan - West Central), name match 1.00",,,
tar_m03aa,17,SW_MAPNOTE001,To Upper City,auto,transition,high,3.0,"305,167","305,170",402.579987,134.824997,"names door tar04_elevdoor -> tar_m02ab (Taris - Upper City North), name match 1.00",,,
tar_m03aa,18,SW_MAPNOTE001,To Apartments,auto,transition,high,3.0,"305,143","305,140",402.578003,164.970993,"names door tar04_stddoor -> tar_m03ad (Taris - Lower City Apartments), name match 1.00",,,
tar_m04aa,58,SW_MAPNOTE001,To Sewers,auto,transition,high,3.0,"273,198","276,198",288.791992,116.692001,"names door TarisDoor3 -> tar_m05aa (Taris - Lower Sewers), name match 1.00",,,
tar_m05ab,19,SW_MAPNOTE001,To Black Vulkar Base,auto,transition,high,3.0,"399,192","402,192",288.933990,310.601013,"names door tar05_elevator -> tar_m10aa (Taris - Black Vulkar Base), name match 1.00",,,
